zip_m,prec_mean,county,n_crime,Assault,BreakingnEntering,Robbery,Theft,objectidmes
20637,4.6612902,Charles,467,181,56,7,174,8-1
20653,2.6225805,Saint Marys,31,31,14,0,56,18-1
20688,5.2516127,Calvert,95,13,7,0,49,4-1
20735,4.4935484,Prince Georges,118,35,87,22,236,16-1
20871,3.4903226,Montgomery,1,257,81,24,415,15-1
21040,3.832258,Harford,30,30,9,7,42,12-1
21042,3.4709678,Howard,1,88,30,15,199,13-1
21158,2.6129031,Carroll,85,8,3,2,35,6-1
21201,3.6741936,Baltimore City,1,31,28,11,90,24-1
21220,3.6451614,Baltimore,4,249,186,68,632,3-1
21412,4.1193547,Anne Arundel,22,22,6,1,42,2-1
21502,2.5032258,Allegany,46,52,27,6,78,1-1
21638,5.6774192,Queen Annes,4,4,2,1,7,17-1
21639,6.2258067,Caroline,11,9,1,3,28,5-1
21643,3.7354839,Dorchester,23,9,3,0,12,9-1
21703,2.9806452,Frederick,217,65,15,41,172,10-1
21742,3.1483872,Washington,47,47,21,0,55,21-1
21801,5.6161289,Wicomico,201,33,15,6,119,22-1
21811,4.1451612,Worcester,24,4,6,0,13,23-1
21853,5.6677418,Somerset,15,8,4,0,14,19-1
21902,4.5032258,Cecil,1,0,0,0,0,7-1
20637,3.125,Charles,554,185,59,3,137,8-2
20653,2.2750001,Saint Marys,30,30,11,1,51,18-2
20688,3.925,Calvert,127,7,12,1,39,4-2
20735,3.0785713,Prince Georges,111,38,44,6,203,16-2
20871,2.3928571,Montgomery,2,243,64,24,345,15-2
21040,2.3535714,Harford,37,37,8,1,47,12-2
21042,2.5821428,Howard,93,93,24,5,172,13-2
21158,1.5821428,Carroll,85,14,4,1,34,6-2
21201,2.3785715,Baltimore City,3,35,20,10,72,24-2
21220,2.3035715,Baltimore,2,264,134,33,569,3-2
21412,3.432143,Anne Arundel,22,22,4,5,37,2-2
21502,1.625,Allegany,34,58,20,3,58,1-2
21638,3.8964286,Queen Annes,5,5,2,0,3,17-2
21639,3.6428571,Caroline,8,14,0,1,19,5-2
21643,2.7785714,Dorchester,13,4,3,0,13,9-2
21703,2.1892858,Frederick,244,46,8,21,135,10-2
21742,2.1428571,Washington,51,51,20,5,33,21-2
21801,3.3928571,Wicomico,188,31,12,5,84,22-2
21811,2.3107142,Worcester,29,6,0,0,15,23-2
21853,3.6678572,Somerset,20,13,1,0,5,19-2
20637,4.803226,Charles,428,237,39,10,135,8-3
20653,1.8903226,Saint Marys,1,47,13,2,54,18-3
20688,4.6999998,Calvert,83,22,4,1,60,4-3
20735,4.5,Prince Georges,111,48,56,12,271,16-3
20871,3.7870967,Montgomery,2,291,83,26,396,15-3
21040,3.6967742,Harford,30,30,16,5,43,12-3
21042,4.3161292,Howard,106,106,38,9,266,13-3
21158,3.2580645,Carroll,69,15,1,1,35,6-3
21201,3.851613,Baltimore City,3,61,16,10,138,24-3
21220,3.4161291,Baltimore,2,277,171,49,752,3-3
21412,5.0032258,Anne Arundel,20,20,9,0,46,2-3
21502,2.880645,Allegany,40,65,18,1,85,1-3
21638,4.8903227,Queen Annes,4,4,7,0,14,17-3
