date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-12-11,7,-1,0.0,8.7,2,24,11:36 AM,09:44 PM,08:17 AM,05:45 PM,-5,-0,2,-0,11,1,60,0.0,1020,7,10,303,8,21042
2018-12-12,6,-1,0.0,8.7,2,31,12:12 PM,10:40 PM,08:18 AM,05:45 PM,-4,0,3,0,12,23,64,0.0,1022,6,10,233,8,21042
2018-12-13,8,2,0.0,8.7,2,38,12:45 PM,11:37 PM,08:18 AM,05:45 PM,0,3,5,3,11,50,73,0.0,1026,8,10,117,7,21042
2018-12-14,9,4,0.0,8.7,2,45,01:15 PM,No moonset,08:19 AM,05:45 PM,4,5,6,5,8,53,87,4.8,1028,9,9,72,5,21042
2018-12-15,10,8,0.0,3.5,2,51,01:43 PM,12:34 AM,08:20 AM,05:46 PM,9,7,9,7,28,100,96,44.7,1018,10,7,45,17,21042
2018-12-16,7,4,0.0,3.5,2,58,02:11 PM,01:33 AM,08:20 AM,05:46 PM,4,3,6,3,24,90,88,36.9,1012,7,7,186,16,21042
2018-12-17,10,4,0.0,7.0,2,65,02:39 PM,02:32 AM,08:21 AM,05:46 PM,-0,2,5,2,25,24,68,0.0,1013,10,10,296,17,21042
2018-12-18,6,1,0.0,8.7,2,72,03:10 PM,03:35 AM,08:22 AM,05:47 PM,-4,-0,3,-0,20,3,58,0.0,1021,6,10,308,14,21042
2018-12-19,8,3,0.0,8.7,3,78,03:44 PM,04:39 AM,08:22 AM,05:47 PM,-3,3,5,3,10,4,59,0.0,1021,8,10,204,7,21042
2018-12-20,7,3,0.0,3.5,1,85,04:22 PM,05:46 AM,08:23 AM,05:47 PM,3,3,5,3,18,68,83,16.8,1015,7,8,103,11,21042
2018-12-21,16,11,0.0,5.2,3,92,05:09 PM,06:55 AM,08:23 AM,05:48 PM,13,14,14,14,26,81,91,11.9,993,16,9,173,16,21042
2018-12-22,9,4,0.0,7.0,3,99,06:03 PM,08:03 AM,08:24 AM,05:48 PM,0,2,6,2,30,33,66,1.5,1007,9,9,291,22,21042
2018-12-23,8,2,0.0,8.7,3,94,07:05 PM,09:09 AM,08:24 AM,05:49 PM,-1,3,5,3,10,26,66,0.5,1021,8,9,232,7,21042
2018-12-24,6,2,0.0,8.7,1,88,08:13 PM,10:07 AM,08:25 AM,05:49 PM,-2,1,4,1,20,38,65,0.0,1021,6,10,297,13,21042
2018-12-25,4,-0,0.0,7.0,1,81,09:26 PM,10:59 AM,08:25 AM,05:50 PM,-6,-1,2,-1,12,47,55,0.0,1028,4,10,314,9,21042
2018-12-26,7,0,0.0,8.7,2,74,10:37 PM,11:43 AM,08:26 AM,05:51 PM,-3,2,4,2,8,13,61,0.0,1033,7,10,267,5,21042
2018-12-27,8,2,0.0,8.7,3,67,11:48 PM,12:21 PM,08:26 AM,05:51 PM,-0,3,5,3,12,29,70,0.1,1034,8,10,165,8,21042
2018-12-28,11,7,0.0,3.5,3,61,No moonrise,12:55 PM,08:26 AM,05:52 PM,9,8,10,8,18,83,96,53.9,1018,11,5,172,10,21042
2018-12-29,9,3,0.0,8.7,2,54,12:55 AM,01:27 PM,08:26 AM,05:53 PM,3,5,8,5,20,32,74,0.0,1020,9,10,303,13,21042
2018-12-30,8,3,0.0,8.7,3,47,02:01 AM,01:57 PM,08:27 AM,05:54 PM,-0,4,5,4,6,32,68,0.0,1024,8,10,220,4,21042
2018-12-31,9,-6,0.0,3.5,2,40,03:06 AM,02:28 PM,08:27 AM,05:54 PM,4,2,4,2,18,74,91,18.4,1022,9,8,148,10,21042
2019-01-01,13,7,0.0,8.7,4,34,04:09 AM,03:01 PM,08:27 AM,05:55 PM,7,9,11,9,33,27,74,0.0,1015,13,10,270,16,21042
2019-01-02,7,1,0.0,3.5,2,27,05:11 AM,03:38 PM,08:27 AM,05:56 PM,1,4,5,4,13,70,71,0.0,1024,7,10,148,5,21042
2019-01-03,7,6,0.0,8.7,2,20,06:11 AM,04:17 PM,08:27 AM,05:57 PM,1,4,6,4,19,41,72,0.9,1017,7,8,267,6,21042
2019-01-04,8,3,0.0,8.7,2,13,07:08 AM,05:01 PM,08:27 AM,05:58 PM,2,4,5,4,10,50,78,0.7,1015,8,9,202,11,21042
2019-01-05,10,7,0.0,5.2,2,6,08:01 AM,05:49 PM,08:27 AM,05:58 PM,5,5,8,5,22,64,85,7.3,1003,10,7,192,11,21042
2019-01-06,9,2,0.0,8.7,3,0,08:50 AM,06:41 PM,08:27 AM,05:59 PM,-0,3,6,3,27,6,65,0.0,1019,9,10,298,9,21042
2019-01-07,2,0,0.0,8.2,1,7,09:34 AM,07:36 PM,08:27 AM,06:00 PM,-7,-2,1,-2,17,56,55,0.0,1030,2,10,105,5,21042
2019-01-08,11,4,0.0,9.7,3,14,10:12 AM,08:31 PM,08:27 AM,06:01 PM,4,4,7,4,22,40,82,3.5,1014,11,9,201,11,21042
2019-01-09,6,-1,0.3,6.6,1,21,10:46 AM,09:28 PM,08:27 AM,06:02 PM,-3,-1,4,-1,37,48,58,0.7,1009,6,7,287,18,21042
2019-01-10,2,-3,0.0,9.8,1,27,11:17 AM,10:25 PM,08:27 AM,06:03 PM,-11,-8,-1,-8,40,31,48,0.0,1016,2,10,305,14,21042
2019-01-11,1,-4,0.0,9.8,2,34,11:45 AM,11:23 PM,08:27 AM,06:04 PM,-12,-6,-1,-6,26,7,45,0.0,1027,1,10,314,9,21042
