zip_m,yyyy,year,mm,month,prec_mean,crime_count,name2,zipcode,county,ID,n_crime,n,Assault,BreakingnEntering,Robbery,Theft,objectidmes
20637,2015,2015,01,1,4.6612902,1, MD,20617,Charles,8,467,1,181,56,7,174,8-1
20653,2015,2015,01,1,2.6225805,1, MD,20659,Saint Marys,18,31,1,31,14,0,56,18-1
20688,2015,2015,01,1,5.2516127,37, MD,20678,Calvert,4,95,1,13,7,0,49,4-1
20735,2015,2015,01,1,4.4935484,1, MD,20742,Prince Georges,16,118,1,35,87,22,236,16-1
20871,2015,2015,01,1,3.4903226,1, MD,20852,Montgomery,15,1,1,257,81,24,415,15-1
21040,2015,2015,01,1,3.832258,2, MD,21132,Harford,12,30,1,30,9,7,42,12-1
21042,2015,2015,01,1,3.4709678,1, MD,21042,Howard,13,1,1,88,30,15,199,13-1
21158,2015,2015,01,1,2.6129031,85, MD,21158,Carroll,6,85,1,8,3,2,35,6-1
21201,2015,2015,01,1,3.6741936,1, MD,21201,Baltimore City,24,1,1,31,28,11,90,24-1
21220,2015,2015,01,1,3.6451614,1, MD,21133,Baltimore,3,4,1,249,186,68,632,3-1
21412,2015,2015,01,1,4.1193547,22, MD,21412,Anne Arundel,2,22,1,22,6,1,42,2-1
21502,2015,2015,01,1,2.5032258,46, MD,21502,Allegany,1,46,1,52,27,6,78,1-1
21638,2015,2015,01,1,5.6774192,4, MD,21638,Queen Annes,17,4,1,4,2,1,7,17-1
21639,2015,2015,01,1,6.2258067,2, MD,21655,Caroline,5,11,1,9,1,3,28,5-1
21643,2015,2015,01,1,3.7354839,1, MD,21869,Dorchester,9,23,1,9,3,0,12,9-1
21703,2015,2015,01,1,2.9806452,217, MD,21703,Frederick,10,217,1,65,15,41,172,10-1
21742,2015,2015,01,1,3.1483872,47, MD,21742,Washington,21,47,1,47,21,0,55,21-1
21801,2015,2015,01,1,5.6161289,201, MD,21801,Wicomico,22,201,1,33,15,6,119,22-1
21811,2015,2015,01,1,4.1451612,24, MD,21811,Worcester,23,24,1,4,6,0,13,23-1
21853,2015,2015,01,1,5.6677418,15, MD,21853,Somerset,19,15,1,8,4,0,14,19-1
21902,2015,2015,01,1,4.5032258,1, MD,21901,Cecil,7,1,1,0,0,0,0,7-1
20637,2015,2015,02,2,3.125,37, MD,20646,Charles,8,554,1,185,59,3,137,8-2
20653,2015,2015,02,2,2.2750001,6, MD,20650,Saint Marys,18,30,1,30,11,1,51,18-2
20688,2015,2015,02,2,3.925,13, MD,20754,Calvert,4,127,1,7,12,1,39,4-2
20735,2015,2015,02,2,3.0785713,4, MD,20742,Prince Georges,16,111,1,38,44,6,203,16-2
20871,2015,2015,02,2,2.3928571,1, MD,20902,Montgomery,15,2,1,243,64,24,345,15-2
21040,2015,2015,02,2,2.3535714,32, MD,21040,Harford,12,37,1,37,8,1,47,12-2
21042,2015,2015,02,2,2.5821428,66, MD,21044,Howard,13,93,1,93,24,5,172,13-2
21158,2015,2015,02,2,1.5821428,85, MD,21158,Carroll,6,85,1,14,4,1,34,6-2
21201,2015,2015,02,2,2.3785715,3, MD,21201,Baltimore City,24,3,1,35,20,10,72,24-2
21220,2015,2015,02,2,2.3035715,2, MD,21252,Baltimore,3,2,1,264,134,33,569,3-2
21412,2015,2015,02,2,3.432143,22, MD,21412,Anne Arundel,2,22,1,22,4,5,37,2-2
21502,2015,2015,02,2,1.625,34, MD,21502,Allegany,1,34,1,58,20,3,58,1-2
21638,2015,2015,02,2,3.8964286,1, MD,21668,Queen Annes,17,5,1,5,2,0,3,17-2
21639,2015,2015,02,2,3.6428571,6, MD,21655,Caroline,5,8,1,14,0,1,19,5-2
21643,2015,2015,02,2,2.7785714,1, MD,21613,Dorchester,9,13,1,4,3,0,13,9-2
21703,2015,2015,02,2,2.1892858,244, MD,21703,Frederick,10,244,1,46,8,21,135,10-2
21742,2015,2015,02,2,2.1428571,51, MD,21742,Washington,21,51,1,51,20,5,33,21-2
21801,2015,2015,02,2,3.3928571,188, MD,21801,Wicomico,22,188,1,31,12,5,84,22-2
21811,2015,2015,02,2,2.3107142,29, MD,21811,Worcester,23,29,1,6,0,0,15,23-2
21853,2015,2015,02,2,3.6678572,20, MD,21853,Somerset,19,20,1,13,1,0,5,19-2
20637,2015,2015,03,3,4.803226,3, MD,20617,Charles,8,428,1,237,39,10,135,8-3
20653,2015,2015,03,3,1.8903226,1, MD,20653,Saint Marys,18,1,1,47,13,2,54,18-3
20688,2015,2015,03,3,4.6999998,29, MD,20678,Calvert,4,83,1,22,4,1,60,4-3
20735,2015,2015,03,3,4.5,111, MD,20771,Prince Georges,16,111,1,48,56,12,271,16-3
20871,2015,2015,03,3,3.7870967,1, MD,20899,Montgomery,15,2,1,291,83,26,396,15-3
21040,2015,2015,03,3,3.6967742,27, MD,21040,Harford,12,30,1,30,16,5,43,12-3
21042,2015,2015,03,3,4.3161292,3, MD,20759,Howard,13,106,1,106,38,9,266,13-3
21158,2015,2015,03,3,3.2580645,69, MD,21158,Carroll,6,69,1,15,1,1,35,6-3
21201,2015,2015,03,3,3.851613,3, MD,21201,Baltimore City,24,3,1,61,16,10,138,24-3
21220,2015,2015,03,3,3.4161291,2, MD,21252,Baltimore,3,2,1,277,171,49,752,3-3
21412,2015,2015,03,3,5.0032258,20, MD,21412,Anne Arundel,2,20,1,20,9,0,46,2-3
21502,2015,2015,03,3,2.880645,40, MD,21502,Allegany,1,40,1,65,18,1,85,1-3
21638,2015,2015,03,3,4.8903227,1, MD,21638,Queen Annes,17,4,1,4,7,0,14,17-3
21639,2015,2015,03,3,4.7838707,1, MD,21649,Caroline,5,7,1,11,0,0,13,5-3
21643,2015,2015,03,3,2.7064517,17, MD,21643,Dorchester,9,22,1,8,3,0,9,9-3
21703,2015,2015,03,3,3.9774194,194, MD,21703,Frederick,10,194,1,68,22,24,182,10-3
21742,2015,2015,03,3,4.3548388,57, MD,21742,Washington,21,57,1,57,20,6,37,21-3
21801,2015,2015,03,3,3.2258065,162, MD,21801,Wicomico,22,162,1,46,31,9,125,22-3
21811,2015,2015,03,3,2.3129032,18, MD,21811,Worcester,23,18,1,6,2,0,20,23-3
21853,2015,2015,03,3,3.9258063,17, MD,21853,Somerset,19,17,1,10,1,0,2,19-3
20637,2015,2015,04,4,3.7266667,7, MD,20637,Charles,8,488,1,201,53,3,185,8-4
20653,2015,2015,04,4,1.6933333,9, MD,20650,Saint Marys,18,48,1,48,21,1,39,18-4
20688,2015,2015,04,4,3.6900001,6, MD,20736,Calvert,4,89,1,24,13,0,49,4-4
20735,2015,2015,04,4,5.0766668,98, MD,20771,Prince Georges,16,99,1,51,56,10,309,16-4
20871,2015,2015,04,4,4.3366666,1, MD,20810,Montgomery,15,1,1,276,75,27,450,15-4
21040,2015,2015,04,4,2.9266667,1, MD,21040,Harford,12,1,1,52,22,1,78,12-4
21042,2015,2015,04,4,4.2833333,2, MD,21044,Howard,13,2,1,96,33,9,278,13-4
21158,2015,2015,04,4,3.0699999,52, MD,21158,Carroll,6,52,1,15,11,0,50,6-4
21201,2015,2015,04,4,4.0599999,2, MD,21201,Baltimore City,24,2,1,41,28,6,139,24-4
21220,2015,2015,04,4,3.4066668,1, MD,21252,Baltimore,3,1,1,326,194,40,761,3-4
21412,2015,2015,04,4,5.0099998,22, MD,21412,Anne Arundel,2,23,1,23,8,1,43,2-4
21502,2015,2015,04,4,4.1199999,63, MD,21502,Allegany,1,63,1,110,32,4,118,1-4
21601,2015,2015,04,4,1.9933333,1, MD,21601,Talbot,20,1,1,0,0,0,0,20-4
21638,2015,2015,04,4,4.2600002,1, MD,21619,Queen Annes,17,4,1,4,4,0,12,17-4
21639,2015,2015,04,4,3.3366666,2, MD,21655,Caroline,5,8,1,15,2,0,29,5-4
21643,2015,2015,04,4,2.0599999,17, MD,21643,Dorchester,9,17,1,8,2,0,18,9-4
21703,2015,2015,04,4,4.2233334,221, MD,21703,Frederick,10,221,1,77,24,27,179,10-4
21742,2015,2015,04,4,4.8400002,45, MD,21742,Washington,21,45,1,45,25,1,72,21-4
21801,2015,2015,04,4,2.3666666,175, MD,21801,Wicomico,22,175,1,48,33,7,145,22-4
21811,2015,2015,04,4,1.7733333,18, MD,21811,Worcester,23,18,1,10,2,1,17,23-4
21853,2015,2015,04,4,3.1566665,16, MD,21853,Somerset,19,16,1,12,7,0,13,19-4
21902,2015,2015,04,4,3.1733332,1, MD,21903,Cecil,7,1,1,0,0,0,0,7-4
20637,2015,2015,05,5,3.2967741,10, MD,20640,Charles,8,560,1,259,58,6,178,8-5
20653,2015,2015,05,5,2.3193548,17, MD,20619,Saint Marys,18,43,1,43,15,2,50,18-5
